dataset,horizon,method,crps,mae,smape,ece,cov_50,cov_80,cov_90,cov_95
ETTh1-OT,1,Raw LLM,0.36191266774206127,0.43064546813249616,5.294756850846692,0.14285714285714285,0.2,0.5,0.5,0.5
ETTh1-OT,1,L1: Isotonic,0.9739929157482896,,,,,0.5,,
ETTh1-OT,1,L2: Sym CP,,,,,,0.5,,
ETTh1-OT,1,L2: Asym CP,,,,,,0.5,,
ETTh1-OT,1,L2: Adaptive CP,,,,,,0.5,,
ETTh1-OT,1,L2: Mondrian CP,,,,,,0.6,,
ETTh1-OT,1,L2: Pooled Sym CP,,,,,,0.7,,
ETTh1-OT,1,L2: Pooled Asym CP,,,,,,0.2,,
ETTh1-OT,1,L2: Pooled Adaptive CP,,,,,,0.7,,
ETTh1-OT,1,L2: Pooled Mondrian CP,,,,,,0.7,,
ETTh1-OT,6,Raw LLM,0.6977809429816327,0.8994767912340166,12.499747670982199,0.15952380952380954,0.21666666666666667,0.4666666666666667,0.5,0.5833333333333334
ETTh1-OT,6,L1: Isotonic,1.1616032579269204,,,,,0.4666666666666667,,
ETTh1-OT,6,L2: Sym CP,,,,,,0.45,,
ETTh1-OT,6,L2: Asym CP,,,,,,0.35,,
ETTh1-OT,6,L2: Adaptive CP,,,,,,0.5166666666666667,,
ETTh1-OT,6,L2: Mondrian CP,,,,,,0.5166666666666667,,
ETTh1-OT,6,L2: Pooled Sym CP,,,,,,0.5833333333333334,,
ETTh1-OT,6,L2: Pooled Asym CP,,,,,,0.23333333333333334,,
ETTh1-OT,6,L2: Pooled Adaptive CP,,,,,,0.6,,
ETTh1-OT,6,L2: Pooled Mondrian CP,,,,,,0.6333333333333333,,
ETTh1-OT,24,Raw LLM,1.5489852345927158,2.2209288908491533,26.304667741495457,0.1244047619047619,0.2375,0.5041666666666667,0.6166666666666667,0.6583333333333333
ETTh1-OT,24,L1: Isotonic,1.3103014336635894,,,,,0.5041666666666667,,
ETTh1-OT,24,L2: Sym CP,,,,,,0.6,,
ETTh1-OT,24,L2: Asym CP,,,,,,0.44583333333333336,,
ETTh1-OT,24,L2: Adaptive CP,,,,,,0.7,,
ETTh1-OT,24,L2: Mondrian CP,,,,,,0.6041666666666666,,
ETTh1-OT,24,L2: Pooled Sym CP,,,,,,0.6208333333333333,,
ETTh1-OT,24,L2: Pooled Asym CP,,,,,,0.3541666666666667,,
ETTh1-OT,24,L2: Pooled Adaptive CP,,,,,,0.6791666666666667,,
ETTh1-OT,24,L2: Pooled Mondrian CP,,,,,,0.6333333333333333,,
